GlobalID,ano_flate_id,aar,ano_round,region,kartleggingsenhet_1m2,Light1,Light2,Moist1,Moist2,pH1,pH2,Nitrogen1,Nitrogen2,fpci.min,cwm_Light,cwm_Moisture,cwm_pH,cwm_Nitrogen,richness
{36BAE83E-F412-4C90-8B56-DE6B4225BB17},ANO0003,2019,round1,Southern,V1-C-5,0.571452731711833,NA,0.757390619250545,NA,0.37917971783538684,NA,0.9167194084714718,NA,0.37917971783538684,4.764982373678026,7.151586368977674,1.9882491186839013,2.3760282021151586,10
{662B047A-411B-42F1-8F2F-E24602CBF350},ANO0003,2019,round1,Southern,V1-C-1,0.5565302768991333,NA,0.8723176154203416,NA,0.42158354470918463,NA,0.9599722972178959,NA,0.42158354470918463,4.666666666666667,7.3580246913580245,2.0987654320987654,2.45679012345679,7
{F003E630-94CD-4FFF-839B-772299BF697A},ANO0003,2019,round1,Southern,V1-C-1,0.5514068681359651,NA,0.44258387843976904,NA,0.5682473692517341,NA,0.9119317154498352,NA,0.44258387843976904,4.632911392405063,5.329113924050633,2.481012658227848,2.367088607594937,9
{F8239C33-99BD-4EEE-85A9-04A10772858D},ANO0003,2019,round1,Southern,V1-C-1,NA,0.6537915227100225,NA,0.7163311985575171,NA,0.7337169654399112,NA,0.8672029036686696,0.6537915227100225,5.63013698630137,8.076320939334638,4.211350293542074,2.724070450097847,12
{95E184F4-9560-4ADC-A7A9-75AD9A97D654},ANO0003,2019,round1,Southern,V1-C-1,0.604929699232626,NA,0.4233363462911653,NA,0.3566680851424753,NA,0.7077904809837886,NA,0.3566680851424753,4.957746478873239,5.140845070422535,1.9295774647887325,1.9859154929577465,9
{6C11D423-9559-4C61-9036-C1309E0C6328},ANO0003,2019,round1,Southern,V1-C-1,NA,0.7590121091226807,NA,0.9813801806721756,0.6521520558976296,NA,0.561662709068652,NA,0.561662709068652,5.539823008849558,7.619469026548671,2.7079646017699113,1.7345132743362832,9
{D331E117-DACA-4750-A198-028D1356340B},ANO0003,2019,round1,Southern,V3-C-1,0.5910495293665949,NA,0.6116185926445968,NA,0.3443216697717406,NA,NA,0.9025320846340638,0.3443216697717406,4.895941727367326,5.791883454734652,1.3756503642039541,1.470343392299688,5
{E9C62BB1-E07C-468E-ADF0-6653DC0D71F0},ANO0003,2019,round1,Southern,V1-C-5,0.4709445234633034,NA,0.5664169860924623,NA,0.7200664102995988,NA,NA,0.7882984351443785,0.4709445234633034,4.102790014684288,6.540381791483114,2.895741556534508,2.8384728340675482,7
{F793C8C1-C160-4F51-89E7-51AF1E1DC0EF},ANO0003,2019,round1,Southern,V1-C-5,0.5774175683590673,NA,0.36714719225435677,NA,0.31719805100838455,NA,0.7153335855314115,NA,0.31719805100838455,4.80428134556575,4.591233435270133,1.8267074413863404,2,7
{CD5636F5-9E69-42C9-AA98-AED79C5438DA},ANO0003,2019,round1,Southern,V1-C-1,0.7417750505241979,NA,NA,0.9743544419219745,0.09423925481967584,NA,0.621375616604881,NA,0.09423925481967584,5.087719298245614,7.631578947368421,1.2456140350877194,1.8245614035087718,5
{CCC71FF7-57C6-468E-889E-63B290A3C086},ANO0006,2019,round1,Central,V3-C-2,0.6358992003433257,NA,0.7929925554768633,NA,NA,0.8280220502091598,NA,0.5792368050432567,0.5792368050432567,5.009925558312656,6.0769230769230775,1.915632754342432,1.8560794044665012,17
{6E325FD4-CDD9-486E-92B9-E941289BD61D},ANO0006,2019,round1,Central,V3-C-2,0.6498001935341992,NA,0.4623480787402313,NA,NA,0.5971584804312807,NA,0.5650364203954215,0.4623480787402313,5.0312174817898025,4.678459937565037,2.1165452653485954,2.031217481789802,16
{387D0E15-EB32-4080-B750-18BB08006EF4},ANO0006,2019,round1,Central,V3-C-2,0.6282552656518939,NA,0.5950702467284507,NA,NA,0.9024652163453075,NA,0.5775401069518716,0.5775401069518716,4.998217468805704,5.734402852049911,1.8591800356506238,1.8770053475935828,12
{B1B3BE64-D329-40E0-B8F7-AF3093120824},ANO0006,2019,round1,Central,V3-C-2,0.6158174475703254,NA,0.5315667741918937,NA,NA,0.9914938594319526,NA,0.784722222222224,0.5315667741918937,4.979166666666667,5.229166666666667,1.7916666666666667,1.5208333333333333,6
{01231911-0876-0101-2ABC-000000001063},ANO0006,2019,round1,Central,V1-C-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
{01231911-0876-0101-2ABC-000000001067},ANO0006,2019,round1,Central,V1-C-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
{01231911-0876-0101-2ABC-000000001068},ANO0006,2019,round1,Central,V2-C-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
{A07600EF-1B69-4F56-B5A8-0C34FE1B8E01},ANO0010,2019,round1,Central,V1-C-6,0.5973316168477499,NA,0.7717721906219477,NA,0.7869415439353032,NA,NA,0.9994978245919108,0.5973316168477499,4.935483870967742,7.17741935483871,3.0806451612903225,2.532258064516129,11
